date,sentiment,open,high,low,volume,close
2013-01-21,0.296672,15.7,17.0,15.6,61502,16.9
2013-01-22,0.357815,16.8,17.6,16.6,60975,17.4
2013-01-23,0.391366,17.3,17.6,16.8,49439,17.9
2013-01-24,0.196592,17.5,19.2,15.6,172009,17.8
2013-01-25,0.259927,16.9,17.8,15.4,80767,18.7
2013-01-26,0.160243,17.4,17.9,16.5,34811,19.5
2013-01-27,0.265702,17.9,18.0,17.2,23767,19.7
2013-01-28,0.269674,17.8,18.9,17.8,57669,20.4
2013-01-29,0.229464,18.7,19.8,18.7,86082,20.5
2013-01-30,0.230275,19.5,19.8,19.1,45065,19.6
2013-01-31,0.340881,19.7,21.4,19.5,99227,20.6
2013-02-01,0.453013,20.4,21.1,20.3,49917,20.4
2013-02-02,0.242079,20.5,20.5,18.0,80502,20.6
2013-02-03,0.3359709999999999,19.6,20.9,19.4,34244,21.2
2013-02-04,0.273247,20.6,21.0,19.9,52219,22.1
2013-02-05,0.200576,20.4,20.8,20.2,29212,22.7
2013-02-06,0.34841,20.6,21.3,20.6,51990,23.6
2013-02-07,0.276208,21.2,22.2,20.8,64264,24.0
2013-02-08,0.3970309999999999,22.1,22.8,22.0,48650,24.6
2013-02-09,0.251255,22.7,24.0,22.6,38133,25.2
2013-02-10,0.303873,23.6,24.1,22.7,56426,24.2
2013-02-11,0.221885,24.0,24.7,23.6,29527,27.2
2013-02-12,0.314402,24.6,25.8,24.3,74240,27.1
2013-02-13,0.447421,25.2,26.3,24.2,90150,27.2
2013-02-14,0.4063029999999999,24.2,27.6,21.7,145735,26.8
2013-02-15,0.391887,27.2,27.5,26.1,51714,27.0
2013-02-16,0.271772,27.1,27.5,26.8,18827,29.4
2013-02-17,0.285471,27.2,27.4,25.0,77042,29.6
2013-02-18,0.317939,26.8,27.1,26.4,29744,29.8
2013-02-19,0.249832,27.0,29.6,26.8,99699,30.3
2013-02-20,0.258001,29.4,29.9,29.0,37209,29.8
2013-02-21,0.4567389999999999,29.6,30.0,29.3,34731,29.9
2013-02-22,0.35816,29.8,31.3,29.7,66952,30.4
2013-02-23,0.321625,30.3,30.7,28.0,72278,31.1
2013-02-24,0.275036,29.8,30.4,29.2,24275,30.9
2013-02-25,0.248139,29.9,30.4,29.5,26779,33.4
2013-02-26,0.33252,30.4,31.7,30.1,42864,34.5
2013-02-27,0.256972,31.1,31.6,30.8,30473,34.3
2013-02-28,0.250179,30.9,34.5,30.9,126517,34.5
2013-03-01,0.220408,33.4,34.9,32.9,39786,36.2
2013-03-02,0.426439,34.5,34.8,33.2,36662,40.3
2013-03-03,0.2234669999999999,34.3,34.5,33.8,12525,41.0
